system:time_start,Grass1,Grass2,Grass3,Grass5,Grass,Grass7,Grass8,Grass11,Grass12,Grass13,Grass14,Grass15,Grass9,Grass10
"Jun 3, 2019",0.275,0.257,0.256,0.279,0.288,0.256,0.325,0.33,0.251,0.23,0.364,0.301,0.285,0.28
"Jun 8, 2019",0.263,0.251,0.239,0.26,0.275,0.243,0.314,0.335,0.238,0.22,0.344,0.284,0.27,0.269
"Jun 13, 2019",0.243,0.225,0.229,0.241,0.25,0.227,0.278,0.292,0.214,0.193,0.304,0.253,0.246,0.234
"Jun 23, 2019",0.227,0.199,0.216,0.226,0.233,0.212,0.273,0.273,0.197,0.186,0.29,0.255,0.231,0.229
"Jun 28, 2019",0.225,0.202,0.212,0.226,0.221,0.21,0.279,0.258,0.129,0.193,0.284,0.264,0.246,0.219
"Jul 3, 2019",0.217,0.204,0.21,0.216,0.213,0.19,0.243,0.256,0.171,0.174,0.254,0.225,0.224,0.215
"Jul 18, 2019",0.206,0.189,0.208,0.195,0.2,0.185,0.234,0.236,0.167,0.162,0.243,0.209,0.211,0.206
"Jul 23, 2019",0.205,0.189,0.191,0.211,0.212,0.183,0.251,0.238,0.166,0.162,0.24,0.208,0.213,0.203
"Aug 12, 2019",0.191,0.184,0.175,0.191,0.193,0.171,0.207,0.216,0.159,0.156,0.212,0.195,0.2,0.191
"Aug 17, 2019",0.191,0.187,0.188,0.195,0.193,0.171,0.209,0.219,0.168,0.158,0.221,0.206,0.205,0.193
"Aug 27, 2019",0.17,0.168,0.17,0.169,0.171,0.154,0.179,0.195,0.137,0.126,0.196,0.189,0.18,0.175
"Sep 11, 2019",0.15,0.144,0.139,0.158,0.164,0.142,0.183,0.166,0.124,0.119,0.165,0.155,0.156,0.156
"Sep 21, 2019",0.152,0.153,0.13,0.148,0.158,0.144,0.17,0.163,0.14,0.133,0.158,0.152,0.152,0.164
"Oct 6, 2019",0.151,0.156,0.144,0.147,0.149,0.145,0.18,0.161,0.14,0.115,0.164,0.152,0.156,0.157
"Oct 21, 2019",0.143,0.143,0.132,0.144,0.149,0.14,0.17,0.157,0.122,0.137,0.158,0.143,0.151,0.153
"Nov 15, 2019",0.132,0.145,0.115,0.078,0.154,0.148,0.109,0.158,0.13,0.079,0.151,0.147,0.153,0.152
"Nov 30, 2019",0.246,0.218,0.176,0.255,0.263,0.242,0.227,0.277,0.208,0.199,0.254,0.248,0.259,0.24
"Dec 15, 2019",0.397,0.337,0.307,0.345,0.371,0.365,0.297,0.411,0.316,0.275,0.366,0.37,0.428,0.388
"Dec 25, 2019",0.473,0.344,0.342,0.403,0.413,0.368,0.359,0.469,0.348,0.342,0.45,0.431,0.484,0.465
"Jan 29, 2020",0.315,0.306,0.313,0.373,0.38,0.361,0.394,0.369,0.34,0.319,0.379,0.372,0.367,0.362
"Feb 13, 2020",0.326,0.328,0.33,0.339,0.324,0.322,0.402,0.372,0.288,0.336,0.311,0.348,0.334,0.31
"Mar 19, 2020",0.305,0.28,0.315,0.357,0.343,0.312,0.346,0.404,0.274,0.274,0.362,0.35,0.335,0.324
"Mar 24, 2020",0.288,0.271,0.319,0.341,0.323,0.313,0.335,0.379,0.176,0.265,0.342,0.332,0.321,0.31
"Mar 29, 2020",0.303,0.292,0.302,0.348,0.318,0.298,0.325,0.384,0.278,0.281,0.349,0.395,0.357,0.327
"May 3, 2020",0.258,0.26,0.277,0.281,0.321,0.287,0.317,0.325,0.266,0.249,0.293,0.29,0.265,0.266
"May 18, 2020",0.216,0.208,0.213,0.239,0.226,0.205,0.224,0.261,0.207,0.204,0.237,0.232,0.22,0.229
"May 23, 2020",0.214,0.213,0.222,0.234,0.212,0.205,0.222,0.25,0.188,0.148,0.248,0.239,0.235,0.229
"May 28, 2020",0.203,0.198,0.207,0.223,0.205,0.196,0.209,0.236,0.184,0.172,0.219,0.213,0.209,0.208
"Jun 2, 2020",0.206,0.2,0.214,0.232,0.203,0.199,0.214,0.239,0.179,0.16,0.223,0.22,0.207,0.212
"Jun 7, 2020",0.201,0.19,0.186,0.217,0.198,0.181,0.206,0.235,0.18,0.176,0.217,0.211,0.202,0.207
"Jun 12, 2020",0.185,0.187,0.199,0.206,0.192,0.171,0.192,0.212,0.169,0.158,0.201,0.199,0.188,0.195
"Jun 22, 2020",0.042,0.036,0.037,0.198,0.184,0.165,0.18,0.06,0.164,0.173,0.2,0.189,0.079,0.188
"Jun 27, 2020",0.172,0.166,0.183,0.179,0.169,0.162,0.177,0.191,0.163,0.161,0.175,0.163,0.171,0.169
"Jul 2, 2020",0.169,0.166,0.197,0.173,0.168,0.155,0.172,0.188,0.149,0.168,0.173,0.169,0.17,0.173
"Jul 7, 2020",0.161,0.155,0.165,0.175,0.169,0.151,0.165,0.185,0.151,0.158,0.165,0.159,0.156,0.164
"Jul 12, 2020",0.156,0.159,0.152,0.164,0.163,0.148,0.154,0.181,0.137,0.119,0.168,0.156,0.158,0.163
"Jul 17, 2020",0.152,0.154,0.137,0.167,0.152,0.144,0.158,0.176,0.146,0.145,0.168,0.157,0.158,0.165
"Jul 22, 2020",0.165,0.161,0.154,0.161,0.161,0.154,0.166,0.178,0.149,0.149,0.171,0.16,0.162,0.171
"Aug 1, 2020",0.148,0.114,0.141,0.149,0.136,0.136,0.147,0.157,0.129,0.134,0.148,0.138,0.138,0.144
"Aug 6, 2020",0.136,0.139,0.121,0.147,0.139,0.131,0.146,0.149,0.118,0.123,0.141,0.131,0.134,0.145
"Aug 11, 2020",0.146,0.145,0.133,0.149,0.151,0.138,0.152,0.165,0.127,0.148,0.149,0.142,0.141,0.145
"Aug 16, 2020",0.131,0.139,0.121,0.131,0.137,0.127,0.142,0.148,0.115,0.127,0.142,0.132,0.131,0.138
"Aug 26, 2020",0.131,0.125,0.12,0.139,0.137,0.128,0.137,0.147,0.127,0.121,0.137,0.131,0.132,0.145
"Sep 20, 2020",0.134,0.129,0.119,0.123,0.125,0.112,0.128,0.13,0.122,0.098,0.12,0.113,0.119,0.127
"Sep 25, 2020",0.12,0.121,0.115,0.127,0.113,0.116,0.134,0.135,0.103,0.125,0.113,0.109,0.118,0.126
"Oct 10, 2020",0.168,0.159,0.153,0.149,0.19,0.172,0.19,0.15,0.173,0.136,0.137,0.123,0.186,0.183
"Oct 15, 2020",0.217,0.205,0.187,0.196,0.24,0.215,0.209,0.201,0.18,0.181,0.188,0.166,0.264,0.217
"Oct 25, 2020",0.231,0.226,0.216,0.253,0.275,0.241,0.246,0.263,0.227,0.22,0.261,0.245,0.272,0.251
"Oct 30, 2020",0.203,0.201,0.209,0.228,0.249,0.222,0.247,0.233,0.215,0.167,0.235,0.23,0.229,0.227
"Nov 14, 2020",0.166,0.17,0.163,0.204,0.193,0.189,0.202,0.198,0.172,0.19,0.197,0.199,0.19,0.191
"Nov 24, 2020",0.193,0.197,0.193,0.218,0.222,0.217,0.229,0.221,0.198,0.201,0.214,0.212,0.205,0.211
"Dec 29, 2020",0.479,0.409,0.405,0.428,0.422,0.419,0.421,0.449,0.371,0.369,0.438,0.416,0.485,0.448
"Mar 4, 2021",0.448,0.422,0.456,0.485,0.433,0.432,0.437,0.527,0.386,0.369,0.538,0.504,0.432,0.462
"Mar 9, 2021",0.402,0.372,0.444,0.451,0.41,0.387,0.411,0.49,0.365,0.329,0.506,0.472,0.444,0.44
"Apr 8, 2021",0.269,0.258,0.367,0.345,0.301,0.274,0.298,0.372,0.265,0.211,0.355,0.203,0.355,0.327
"Apr 13, 2021",0.235,0.247,0.331,0.318,0.276,0.254,0.283,0.349,0.232,0.239,0.326,0.211,0.317,0.311
"Apr 18, 2021",0.232,0.243,0.313,0.318,0.28,0.247,0.28,0.338,0.233,0.223,0.323,0.223,0.296,0.293
"Apr 28, 2021",0.216,0.223,0.29,0.276,0.255,0.229,0.255,0.31,0.222,0.182,0.286,0.19,0.266,0.257
"May 8, 2021",0.221,0.215,0.263,0.272,0.238,0.219,0.242,0.293,0.209,0.208,0.265,0.2,0.245,0.239
"May 13, 2021",0.205,0.204,0.256,0.252,0.216,0.195,0.218,0.272,0.189,0.189,0.247,0.187,0.241,0.222
"May 28, 2021",0.198,0.198,0.235,0.231,0.197,0.185,0.198,0.261,0.17,0.165,0.232,0.184,0.223,0.213
"Jun 12, 2021",0.197,0.217,0.248,0.219,0.18,0.176,0.185,0.248,0.174,0.193,0.221,0.179,0.224,0.215
"Jun 17, 2021",0.217,0.211,0.234,0.226,0.201,0.185,0.211,0.252,0.177,0.181,0.221,0.171,0.226,0.212
"Jun 22, 2021",0.208,0.207,0.246,0.225,0.198,0.188,0.198,0.254,0.184,0.206,0.222,0.173,0.226,0.207
"Jun 27, 2021",0.19,0.193,0.242,0.205,0.205,0.186,0.202,0.23,0.181,0.205,0.21,0.169,0.211,0.2
"Jul 2, 2021",0.189,0.18,0.216,0.217,0.194,0.174,0.201,0.219,0.182,0.18,0.212,0.156,0.2,0.193
"Jul 7, 2021",0.194,0.194,0.239,0.211,0.195,0.182,0.196,0.233,0.182,0.177,0.215,0.167,0.21,0.201
"Jul 12, 2021",0.179,0.184,0.209,0.195,0.188,0.159,0.178,0.213,0.162,0.174,0.198,0.152,0.196,0.181
"Jul 17, 2021",0.178,0.181,0.208,0.201,0.182,0.168,0.175,0.218,0.161,0.159,0.203,0.154,0.197,0.191
"Jul 27, 2021",0.178,0.174,0.213,0.204,0.183,0.167,0.174,0.206,0.16,0.133,0.199,0.155,0.189,0.187
"Aug 1, 2021",0.172,0.175,0.19,0.193,0.172,0.152,0.17,0.199,0.147,0.15,0.184,0.146,0.183,0.18
"Aug 6, 2021",0.168,0.161,0.194,0.179,0.163,0.153,0.168,0.194,0.155,0.163,0.185,0.147,0.185,0.179
"Aug 31, 2021",0.157,0.164,0.154,0.17,0.161,0.141,0.149,0.184,0.128,0.144,0.175,0.146,0.174,0.171
"Sep 5, 2021",0.165,0.164,0.177,0.179,0.172,0.153,0.169,0.193,0.154,0.124,0.175,0.142,0.181,0.177
"Sep 15, 2021",0.146,0.142,0.15,0.147,0.148,0.131,0.155,0.158,0.139,0.117,0.148,0.125,0.154,0.15
"Sep 25, 2021",0.148,0.144,0.163,0.169,0.155,0.141,0.159,0.166,0.139,0.123,0.154,0.131,0.158,0.159
"Oct 15, 2021",0.129,0.135,0.139,0.13,0.142,0.122,0.143,0.135,0.122,0.109,0.12,0.106,0.123,0.124
"Oct 20, 2021",0.102,0.132,0.082,0.115,0.146,0.132,0.143,0.08,0.114,0.121,0.139,0.13,0.149,0.143
"Oct 30, 2021",0.118,0.122,0.113,0.119,0.144,0.132,0.143,0.096,0.115,0.125,0.127,0.125,0.136,0.136
"Nov 29, 2021",0.339,0.317,0.302,0.304,0.334,0.306,0.318,0.352,0.323,0.285,0.365,0.318,0.42,0.39
"Feb 12, 2022",0.354,0.32,0.336,0.376,0.381,0.37,0.375,0.457,0.348,0.308,0.496,0.448,0.44,0.399
"Mar 14, 2022",0.259,0.245,0.256,0.299,0.282,0.277,0.287,0.335,0.256,0.23,0.338,0.312,0.31,0.284
"Mar 24, 2022",0.316,0.311,0.305,0.337,0.32,0.313,0.324,0.386,0.298,0.256,0.378,0.363,0.338,0.308
"Apr 3, 2022",0.398,0.38,0.386,0.381,0.352,0.361,0.36,0.44,0.351,0.321,0.43,0.408,0.393,0.372
"Apr 28, 2022",0.402,0.39,0.405,0.386,0.348,0.344,0.31,0.423,0.294,0.307,0.437,0.424,0.408,0.399
"May 3, 2022",0.394,0.387,0.399,0.412,0.351,0.353,0.307,0.439,0.312,0.297,0.448,0.422,0.403,0.398
"May 8, 2022",0.39,0.378,0.411,0.387,0.349,0.361,0.308,0.416,0.303,0.275,0.434,0.417,0.4,0.386
"May 13, 2022",0.389,0.37,0.394,0.376,0.347,0.354,0.313,0.416,0.303,0.3,0.415,0.401,0.389,0.393
"Jun 2, 2022",0.386,0.38,0.401,0.394,0.351,0.368,0.335,0.392,0.296,0.27,0.388,0.381,0.357,0.368
"Jun 7, 2022",0.38,0.366,0.414,0.374,0.344,0.365,0.321,0.368,0.291,0.263,0.373,0.364,0.349,0.355
"Jun 12, 2022",0.364,0.365,0.383,0.357,0.323,0.344,0.314,0.381,0.199,0.266,0.328,0.337,0.322,0.356
"Jun 17, 2022",0.363,0.367,0.374,0.358,0.32,0.332,0.303,0.379,0.271,0.231,0.339,0.335,0.315,0.34
"Jul 2, 2022",0.299,0.299,0.32,0.313,0.286,0.298,0.265,0.329,0.219,0.213,0.307,0.293,0.277,0.303
"Jul 27, 2022",0.226,0.227,0.265,0.264,0.23,0.23,0.215,0.252,0.196,0.19,0.268,0.248,0.246,0.25
"Aug 6, 2022",0.178,0.164,0.228,0.261,0.213,0.215,0.218,0.254,0.184,0.166,0.267,0.234,0.253,0.253
"Aug 11, 2022",0.201,0.207,0.244,0.239,0.227,0.227,0.217,0.248,0.204,0.203,0.264,0.246,0.259,0.237
"Aug 26, 2022",0.182,0.191,0.204,0.22,0.212,0.191,0.189,0.233,0.183,0.183,0.242,0.23,0.239,0.214
"Sep 5, 2022",0.183,0.177,0.189,0.208,0.202,0.189,0.198,0.214,0.172,0.144,0.235,0.215,0.229,0.206
"Sep 10, 2022",0.177,0.174,0.191,0.208,0.204,0.187,0.203,0.21,0.179,0.164,0.228,0.215,0.217,0.198
"Sep 15, 2022",0.161,0.17,0.171,0.181,0.191,0.176,0.186,0.201,0.16,0.175,0.219,0.209,0.209,0.195
"Sep 25, 2022",0.172,0.19,0.179,0.194,0.194,0.199,0.196,0.195,0.16,0.182,0.214,0.195,0.21,0.199
"Nov 24, 2022",0.224,0.226,0.222,0.25,0.257,0.239,0.262,0.253,0.236,0.238,0.264,0.256,0.265,0.255
"Dec 24, 2022",0.369,0.338,0.312,0.373,0.381,0.366,0.36,0.354,0.347,0.349,0.405,0.403,0.437,0.391
"Jan 28, 2023",0.295,0.275,0.305,0.373,0.327,0.306,0.334,0.358,0.294,0.235,0.398,0.354,0.357,0.335
"Mar 9, 2023",0.436,0.399,0.395,0.467,0.471,0.466,0.466,0.508,0.403,0.399,0.499,0.49,0.416,0.431
"Mar 19, 2023",0.406,0.39,0.414,0.437,0.431,0.4,0.418,0.471,0.361,0.36,0.485,0.469,0.403,0.423
"Apr 8, 2023",0.371,0.361,0.434,0.376,0.35,0.299,0.328,0.387,0.292,0.311,0.397,0.344,0.376,0.377
