system:time_start,Grass1,Grass2,Grass3,Grass5,Grass,Grass7,Grass8,Grass11,Grass12,Grass13,Grass14,Grass15,Grass9,Grass10
"Jun 3, 2019",0.003,0.012,0,0.008,0.008,0.01,0.014,0.015,0.023,0.041,0.027,0.007,0.015,0.014
"Jun 8, 2019",0.004,0.012,0,0.007,0.008,0.009,0.016,0.01,0.02,0.027,0.025,0.014,0.015,0.013
"Jun 13, 2019",0.006,0.008,0,0.007,0.01,0.004,0.012,0.004,0.016,0.015,0.016,0.012,0.014,0.009
"Jun 23, 2019",0.004,0.008,0,0.01,0.003,0.009,0.021,0.007,0.014,0.024,0.014,0.011,0.018,0.012
"Jun 28, 2019",0.003,0.009,0,0.008,0.004,0.008,0.012,0.01,0.022,0.026,0.01,0.019,0.02,0.022
"Jul 3, 2019",0.004,0.012,0,0.007,0.003,0.009,0.023,0.01,0.018,0.035,0.011,0.011,0.016,0.01
"Jul 18, 2019",0.006,0.009,0,0.005,0.007,0.006,0.02,0.007,0.014,0.021,0.009,0.014,0.013,0.013
"Jul 23, 2019",0.007,0.005,0,0.002,0.005,0.013,0.03,0.005,0.018,0.03,0.018,0.016,0.016,0.015
"Aug 12, 2019",0.001,0.005,0,0.005,0.006,0.007,0.006,0.005,0.013,0.018,0.004,0.011,0.01,0.007
"Aug 17, 2019",0.002,0.003,0,0.002,0.01,0.009,0.011,0.01,0.016,0.02,0.009,0.013,0.02,0.014
"Aug 27, 2019",0.002,0.007,0,0.004,0.006,0.005,0.01,0.011,0.014,0.014,0.011,0.006,0.014,0.009
"Sep 11, 2019",0.003,0.005,0,0.006,0.018,0.008,0.004,0.005,0.016,0.02,0.009,0.007,0.008,0.008
"Sep 21, 2019",0.002,0.005,0,0.001,0.011,0.004,0.004,0.003,0.01,0.01,0.006,0.002,0.005,0.005
"Oct 6, 2019",0.005,0.007,0,0.003,0.011,0.008,0.006,0.002,0.019,0.021,0.007,0.003,0.007,0.004
"Oct 21, 2019",0.002,0.005,0,0.001,0.015,0.006,0.01,0.006,0.013,0.016,0.004,0.006,0.005,0.007
"Nov 15, 2019",0.006,0.005,0,0.012,0.019,0.01,0.011,0.007,0.018,0.015,0.006,0.008,0.009,0.011
"Nov 30, 2019",0.005,0.005,0,0.009,0.008,0.008,0.01,0.007,0.022,0.026,0.006,0.017,0.01,0.008
"Dec 15, 2019",0.007,0.006,0,0.007,0.013,0.01,0.013,0.005,0.028,0.017,0.013,0.018,0.011,0.023
"Dec 25, 2019",0.005,0.016,0,0.009,0.018,0.012,0.019,0.005,0.035,0.038,0.01,0.016,0.021,0.038
"Jan 29, 2020",0.006,0.008,0,0.007,0.005,0.007,0.007,0.012,0.025,0.015,0.004,0.015,0.007,0.006
"Feb 13, 2020",0.002,0.001,0,0.008,0.006,0.006,0.007,0.004,0.006,0.008,0.012,0.015,0.007,0.007
"Mar 19, 2020",0.011,0.004,0,0.011,0.006,0.011,0.007,0.005,0.026,0.024,0.006,0.008,0.008,0.008
"Mar 24, 2020",0.013,0.001,0,0.014,0.007,0.007,0.008,0.009,0.027,0.027,0.007,0.005,0.006,0.008
"Mar 29, 2020",0.009,0.004,0,0.004,0.01,0.01,0.006,0.004,0.013,0.011,0.011,0.011,0.01,0.025
"May 3, 2020",0.005,0.009,0,0.004,0.007,0.006,0.009,0.002,0.023,0.031,0.007,0.01,0.007,0.01
"May 18, 2020",0.004,0.008,0,0.003,0.014,0.008,0.005,0.005,0.013,0.03,0.007,0.003,0.008,0.004
"May 23, 2020",0.003,0.008,0,0.01,0.008,0.006,0.005,0.005,0.016,0.007,0.008,0.012,0.021,0.007
"May 28, 2020",0.004,0.008,0,0.007,0.009,0.008,0.001,0.005,0.013,0.018,0.01,0.006,0.005,0.002
"Jun 2, 2020",0.005,0.007,0,0.007,0.005,0.006,0.008,0.006,0.013,0.015,0.016,0.006,0.008,0.006
"Jun 7, 2020",0.005,0.006,0,0.003,0.007,0.01,0.008,0.006,0.012,0.017,0.005,0.007,0.011,0.007
"Jun 12, 2020",0.005,0.006,0,0.007,0.005,0.007,0.005,0.004,0.012,0.02,0.009,0.01,0.004,0.006
"Jun 22, 2020",0.001,0.001,0,0.001,0.008,0.007,0.005,0.003,0.012,0.025,0.007,0.006,0.009,0.008
"Jun 27, 2020",0.006,0.006,0,0.004,0.01,0.005,0.011,0.008,0.011,0.031,0.007,0.005,0.008,0.004
"Jul 2, 2020",0.002,0.005,0,0.005,0.009,0.008,0.01,0.004,0.009,0.029,0.007,0.008,0.007,0.004
