date,Grass1,Grass2,Grass3,Grass5,Grass,Grass7,Grass8,Grass11,Grass12,Grass13,Grass14,Grass15,Grass9,Grass10
"Jun 15, 2019",0.248,0.229,0.231,0.241,0.253,0.229,0.295,0.297,0.217,0.205,0.314,0.277,0.254,0.245
"Jul 15, 2019",0.218,0.196,0.204,0.205,0.206,0.188,0.243,0.243,0.167,0.166,0.246,0.217,0.211,0.207
"Aug 15, 2019",0.187,0.176,0.178,0.183,0.178,0.168,0.197,0.205,0.15,0.148,0.211,0.202,0.194,0.181
"Sep 15, 2019",0.15,0.148,0.135,0.151,0.151,0.147,0.177,0.167,0.135,0.122,0.158,0.156,0.15,0.16
"Oct 15, 2019",0.144,0.151,0.138,0.142,0.143,0.143,0.175,0.162,0.131,0.126,0.162,0.149,0.151,0.154
"Nov 15, 2019",0.186,0.184,0.146,0.163,0.204,0.201,0.168,0.223,0.163,0.133,0.199,0.194,0.205,0.194
"Dec 15, 2019",0.44,0.341,0.325,0.37,0.392,0.367,0.328,0.441,0.33,0.294,0.408,0.404,0.458,0.435
"Jan 15, 2020",0.309,0.305,0.314,0.361,0.378,0.36,0.394,0.377,0.336,0.319,0.381,0.373,0.363,0.363
"Feb 15, 2020",0.326,0.328,0.33,0.339,0.326,0.327,0.394,0.368,0.288,0.328,0.311,0.35,0.332,0.315
"Mar 15, 2020",0.288,0.282,0.312,0.344,0.332,0.308,0.338,0.39,0.237,0.263,0.354,0.36,0.34,0.317
"May 15, 2020",0.22,0.221,0.23,0.239,0.238,0.223,0.243,0.272,0.207,0.193,0.249,0.243,0.231,0.232
"Jun 15, 2020",0.156,0.157,0.164,0.202,0.186,0.177,0.194,0.189,0.169,0.166,0.205,0.196,0.169,0.194
"Jul 15, 2020",0.159,0.158,0.161,0.164,0.161,0.15,0.164,0.185,0.145,0.149,0.171,0.163,0.161,0.167
"Aug 15, 2020",0.135,0.125,0.128,0.141,0.142,0.134,0.145,0.152,0.125,0.129,0.143,0.138,0.135,0.143
"Sep 15, 2020",0.123,0.123,0.117,0.116,0.123,0.121,0.142,0.129,0.115,0.112,0.117,0.112,0.116,0.128
"Oct 15, 2020",0.202,0.199,0.19,0.201,0.237,0.213,0.224,0.21,0.203,0.18,0.204,0.191,0.237,0.223
"Nov 15, 2020",0.171,0.183,0.178,0.2,0.21,0.204,0.216,0.211,0.185,0.175,0.205,0.203,0.193,0.201
"Dec 15, 2020",0.48,0.412,0.404,0.416,0.421,0.419,0.422,0.463,0.363,0.351,0.437,0.419,0.493,0.492
"Mar 15, 2021",0.418,0.404,0.449,0.467,0.422,0.409,0.422,0.512,0.362,0.332,0.523,0.488,0.447,0.451
"Apr 15, 2021",0.235,0.244,0.323,0.309,0.275,0.249,0.279,0.346,0.229,0.214,0.326,0.202,0.298,0.288
"May 15, 2021",0.208,0.206,0.249,0.25,0.215,0.202,0.219,0.28,0.184,0.192,0.247,0.179,0.235,0.224
"Jun 15, 2021",0.201,0.206,0.241,0.221,0.196,0.185,0.199,0.251,0.178,0.198,0.218,0.171,0.224,0.209
"Jul 15, 2021",0.184,0.181,0.216,0.206,0.187,0.17,0.185,0.221,0.163,0.165,0.204,0.158,0.197,0.193
"Aug 15, 2021",0.164,0.167,0.179,0.178,0.164,0.15,0.161,0.197,0.14,0.145,0.185,0.142,0.179,0.178
"Sep 15, 2021",0.152,0.152,0.163,0.164,0.152,0.141,0.163,0.175,0.144,0.123,0.159,0.138,0.156,0.16
"Oct 15, 2021",0.112,0.121,0.111,0.121,0.14,0.133,0.145,0.099,0.117,0.118,0.129,0.114,0.131,0.136
"Nov 15, 2021",0.327,0.309,0.304,0.302,0.335,0.306,0.329,0.352,0.324,0.283,0.364,0.319,0.422,0.398
"Feb 15, 2022",0.347,0.32,0.337,0.367,0.381,0.369,0.374,0.465,0.342,0.307,0.498,0.452,0.438,0.401
"Mar 15, 2022",0.289,0.283,0.28,0.311,0.306,0.292,0.307,0.363,0.269,0.239,0.361,0.335,0.318,0.295
"Apr 15, 2022",0.405,0.385,0.396,0.384,0.351,0.352,0.339,0.431,0.328,0.303,0.434,0.419,0.408,0.39
"May 15, 2022",0.394,0.381,0.401,0.387,0.353,0.358,0.309,0.426,0.302,0.282,0.429,0.414,0.409,0.409
"Jun 15, 2022",0.374,0.374,0.393,0.377,0.333,0.355,0.318,0.381,0.281,0.238,0.358,0.353,0.341,0.351
"Jul 15, 2022",0.259,0.262,0.292,0.287,0.261,0.267,0.241,0.291,0.205,0.195,0.288,0.273,0.255,0.269
"Aug 15, 2022",0.185,0.191,0.224,0.239,0.216,0.212,0.212,0.248,0.19,0.185,0.26,0.237,0.238,0.234
"Sep 15, 2022",0.173,0.178,0.182,0.195,0.194,0.189,0.197,0.207,0.166,0.164,0.225,0.209,0.21,0.201
"Nov 15, 2022",0.222,0.225,0.223,0.238,0.256,0.238,0.261,0.259,0.23,0.238,0.264,0.256,0.259,0.255
"Dec 15, 2022",0.369,0.344,0.313,0.375,0.382,0.366,0.361,0.354,0.344,0.346,0.404,0.4,0.441,0.414
"Jan 15, 2023",0.292,0.282,0.305,0.374,0.325,0.306,0.333,0.368,0.278,0.234,0.399,0.356,0.349,0.333
"Mar 15, 2023",0.423,0.401,0.404,0.453,0.452,0.437,0.441,0.489,0.379,0.375,0.493,0.479,0.411,0.429
"Apr 15, 2023",0.33,0.349,0.408,0.349,0.322,0.278,0.303,0.353,0.252,0.278,0.366,0.317,0.34,0.345
"May 15, 2023",0.284,0.293,0.366,0.301,0.286,0.256,0.275,0.301,0.229,0.235,0.307,0.271,0.28,0.307
